haveit,pubDate,title,link,description
1,1374289500000,19 07 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_19_07_2013.mp3,Podcast Episode
1,1374875760000,26 07 2013,http://arthurpetry.com/podcastgen/?name=2015-12-17_26_07_2013.mp3,Podcast Episode
0,1374978960000,27 07 2013 sábado especial,http://arthurpetry.com/podcastgen/?name=2016-01-04_27_07_2013_sabado_especial.mp3,Podcast Episode
1,1375497360000,02 08 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_02_08_2013.mp3,Podcast Episode
1,1376102160000,09 08 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_09_08_2013.mp3,Podcast Episode
1,1376700960000,16 08 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_16_08_2013.mp3,Podcast Episode
1,1377398160000,24 08 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_24_08_2013.mp3,Podcast Episode
1,1377916560000,30 08 2013,http://arthurpetry.com/podcastgen/?name=2016-01-04_30_08_2013.mp3,Podcast Episode
1,1378515360000,06 09 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_06_09_2013.mp3,Podcast Episode
1,1379120160000,13 09 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_13_09_2013.mp3,Podcast Episode
1,1380848160000,03 10 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_03_10_2013.mp3,Podcast Episode
0,1381971360000,16 10 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_16_10_2013.mp3,Podcast Episode
1,1383616560000,04 11 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_04_11_2013.mp3,Podcast Episode
1,1383962160000,08 11 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_08_11_2013.mp3,Podcast Episode
1,1386035760000,02 12 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_02_12_2013.mp3,SoundJay.com Sound Effects
1,1386640560000,09 12 2013,http://arthurpetry.com/podcastgen/?name=2016-01-06_09_12_2013.mp3,Podcast Episode
